,Player,Nation,Pos,Squad.2,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
0,Patrick van Aanholt,nl NED,"MF,DF",PSV Eindhoven,32,1990,1.1,0,2,1,50.0,1.82,0.91,0.0,0.0,0,0,0,0.2,0.2,0.08,-0.2,-0.2
4,Elias Achouri,tn TUN,"FW,MF",FC Copenhagen,24,1999,6.1,0,10,2,20.0,1.63,0.33,0.0,0.0,0,0,0,0.3,0.3,0.03,-0.3,-0.3
6,Karim Adeyemi,de GER,FW,Dortmund,21,2002,7.9,2,15,7,46.7,1.91,0.89,0.13,0.29,0,0,0,1.8,1.8,0.12,0.2,0.2
9,Manuel Akanji,ch SUI,"DF,MF",Manchester City,28,1995,7.4,2,5,2,40.0,0.68,0.27,0.4,1.0,0,0,0,1.0,1.0,0.19,1.0,1.0
10,Nathan Aké,nl NED,"DF,MF",Manchester City,28,1995,4.3,0,4,2,50.0,0.94,0.47,0.0,0.0,0,0,0,0.9,0.9,0.23,-0.9,-0.9
11,Kerem Aktürkoğlu,tr TUR,"MF,FW",Galatasaray,24,1998,4.9,2,18,6,33.3,3.68,1.23,0.11,0.33,0,0,0,2.1,2.1,0.12,-0.1,-0.1
13,Luis Alberto,es ESP,MF,Lazio,30,1992,7.1,0,14,3,21.4,1.96,0.42,0.0,0.0,1,0,0,0.9,0.9,0.06,-0.9,-0.9
14,Toby Alderweireld,be BEL,DF,Antwerp,34,1989,5.0,0,9,4,44.4,1.8,0.8,0.0,0.0,1,0,1,1.5,0.8,0.09,-1.5,-0.8
15,Mohamed Ali Cho,fr FRA,"FW,MF",Real Sociedad,19,2004,1.5,0,1,1,100.0,0.69,0.69,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
16,Miguel Almirón,py PAR,FW,Newcastle Utd,29,1994,4.6,1,12,3,25.0,2.62,0.65,0.08,0.33,0,0,0,1.4,1.4,0.12,-0.4,-0.4
17,Marcos Alonso,es ESP,"DF,FW",Barcelona,32,1990,1.5,0,1,1,100.0,0.65,0.65,0.0,0.0,1,0,0,0.0,0.0,0.0,0.0,0.0
19,Julián Álvarez,ar ARG,"MF,FW",Manchester City,23,2000,3.1,5,15,10,66.7,4.79,3.19,0.33,0.5,1,0,0,1.7,1.7,0.12,3.3,3.3
21,Aurele Amenda,ch SUI,DF,Young Boys,20,2003,3.5,0,2,1,50.0,0.57,0.29,0.0,0.0,0,0,0,0.1,0.1,0.04,-0.1,-0.1
22,Sofyan Amrabat,ma MAR,"MF,DF",Manchester Utd,26,1996,3.6,0,1,1,100.0,0.28,0.28,0.0,0.0,0,0,0,0.1,0.1,0.05,-0.1,-0.1
24,Felipe Anderson,br BRA,FW,Lazio,30,1993,6.0,0,9,1,11.1,1.49,0.17,0.0,0.0,0,0,0,0.6,0.6,0.07,-0.6,-0.6
30,Ronald Araújo,uy URU,DF,Barcelona,24,1999,7.3,0,6,1,16.7,0.82,0.14,0.0,0.0,1,0,0,0.9,0.9,0.15,-0.9,-0.9
32,Marko Arnautović,at AUT,FW,Inter,34,1989,2.1,2,7,3,42.9,3.28,1.41,0.29,0.67,0,0,0,2.9,2.9,0.41,-0.9,-0.9
34,Marco Asensio,es ESP,"FW,MF",Paris S-G,27,1996,1.4,0,8,3,37.5,5.81,2.18,0.0,0.0,1,0,0,0.4,0.4,0.05,-0.4,-0.4
35,Kristjan Asllani,al ALB,MF,Inter,21,2002,2.3,0,4,2,50.0,1.76,0.88,0.0,0.0,0,0,0,0.1,0.1,0.02,-0.1,-0.1
38,Carlos Augusto,br BRA,"DF,FW",Inter,24,1999,5.3,0,6,2,33.3,1.14,0.38,0.0,0.0,0,0,0,0.4,0.4,0.07,-0.4,-0.4
39,Yann Aurel Bisseck,de GER,DF,Inter,22,2000,1.9,0,2,1,50.0,1.05,0.52,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
40,Fredrik Aursnes,no NOR,"DF,MF",Benfica,27,1995,6.0,0,2,2,100.0,0.33,0.33,0.0,0.0,0,0,0,0.1,0.1,0.04,-0.1,-0.1
43,Irakli Azarov,ge GEO,DF,Shakhtar,21,2002,3.3,0,3,1,33.3,0.91,0.3,0.0,0.0,0,0,0,0.1,0.1,0.02,-0.1,-0.1
